2019-7-4/11-0,20,21,73.8017492912043,113
2019-7-4/11-10,20,21,73.8014798681404,114
2019-7-4/11-20,20,21,73.8014344654918,115
2019-7-4/11-30,20,21,73.8014487909191,116
2019-7-4/11-40,21,21,73.8015704605334,117
2019-7-4/11-50,20,21,73.8009714849846,118
2019-7-4/12-0,20,21,73.8022156610185,119
2019-7-4/12-10,21,21,73.8014118808645,120
2019-7-4/12-20,21,22,73.8015846074241,121
2019-7-4/12-30,21,21,73.800793034186,122
2019-7-4/12-40,21,21,73.8019426831616,123
2019-7-4/12-50,21,21,73.8013760390758,124
2019-7-4/13-0,21,21,73.801382528465,125
2019-7-4/13-10,21,21,73.801409209437,126
2019-7-4/13-20,20,21,73.8018429720739,127
2019-7-4/13-30,20,21,73.8004330934248,128
2019-7-4/13-40,20,21,73.8014555362088,129
2019-7-4/13-50,21,21,73.8015258602389,130
2019-7-4/14-0,21,21,73.801048028445,131
2019-7-4/14-10,20,21,73.8009600857268,132
2019-7-4/14-20,21,22,73.801721677389,133
2019-7-4/14-30,21,21,73.8014304806327,134
2019-7-4/14-40,21,21,73.8017436593803,135
2019-7-4/14-50,21,21,73.8014047459233,136
2019-7-4/15-0,21,21,73.8016265692126,137
2019-7-4/15-10,20,21,73.8011878203058,138
2019-7-4/15-20,21,21,73.8019823488178,139
2019-7-4/15-30,21,21,73.8016691538918,140
2019-7-4/15-40,20,21,73.8007318382343,141
2019-7-4/15-50,20,20,73.8019075024041,142
2019-7-4/16-0,20,20,73.801377408193,143
2019-7-4/16-10,20,20,73.8020910379822,144
2019-7-4/16-20,20,21,73.800578159898,145
2019-7-4/16-30,20,21,73.8020417353295,146
2019-7-4/16-40,20,21,73.8009990479103,147
2019-7-4/16-50,20,21,73.8013317373257,148
2019-7-4/17-0,20,21,73.8016725152365,149
2019-7-4/17-10,21,21,73.8009048033546,150
2019-7-4/17-20,21,21,73.8012270698632,151
2019-7-4/17-30,21,21,73.8021046155897,152
2019-7-4/17-40,21,21,73.8013526415746,153
2019-7-4/17-50,21,21,73.8013842649037,154
2019-7-4/18-0,21,21,73.8020171505696,155
2019-7-4/18-10,21,21,73.8008523367714,156
2019-7-4/18-20,23,22,73.8010958841204,157
2019-7-4/18-30,21,22,73.8007587569891,158
2019-7-4/18-40,21,22,73.8025337907864,159
2019-7-4/18-50,22,22,73.8015346757066,160
2019-7-4/19-0,22,22,73.8013886059975,161
2019-7-4/19-10,21,22,73.8015221425995,162
2019-7-4/19-20,21,22,73.8008327548734,163
2019-7-4/19-30,21,22,73.8017625359788,164
2019-7-4/19-40,21,22,73.8010179500094,165
2019-7-4/19-50,21,22,73.8018922658534,166
2019-7-4/20-0,21,22,73.8006465387455,167
2019-7-4/20-10,21,22,73.8020395428509,168
2019-7-4/20-20,21,22,73.8010194194271,169
2019-7-4/20-30,21,22,73.80107389885,170
2019-7-4/20-40,21,22,73.8019632728431,171
2019-7-4/20-50,21,22,73.8013781317101,172
2019-7-4/21-0,21,22,73.8012097270793,173
2019-7-4/21-10,21,22,73.8022852493755,174
2019-7-4/21-20,21,22,73.8006589407852,175
2019-7-4/21-30,21,22,73.800994606239,176
2019-7-4/21-40,21,22,73.8009473060545,177
2019-7-4/21-50,21,22,73.8018533005527,178
2019-7-4/22-0,21,22,73.8007270400433,179
2019-7-4/22-10,21,22,73.802044272816,180
2019-7-4/22-20,21,22,73.8018750592827,181
2019-7-4/22-30,21,22,73.8002818539623,182
2019-7-4/22-40,21,22,73.8020030941233,183
2019-7-4/22-50,21,22,73.8015495462023,184
2019-7-4/23-0,21,22,73.8016482734269,185
2019-7-4/23-10,21,22,73.8013570160932,186
2019-7-4/23-20,21,21,73.8017506156835,187
2019-7-4/23-30,21,22,73.8011415240731,188
2019-7-4/23-40,21,21,73.8011380621325,189
2019-7-4/23-50,21,22,73.8012870343981,190
2019-7-5/0-0,21,22,73.8006617796672,191
2019-7-5/0-10,21,22,73.8019708631768,192
2019-7-5/0-20,21,22,73.8007824360039,193
2019-7-5/0-30,21,22,73.8017460300897,194
2019-7-5/0-40,22,22,73.8018612138426,195
2019-7-5/0-50,21,21,73.8008746126038,196
2019-7-5/1-0,21,22,73.8020101724345,197
2019-7-5/1-10,21,22,73.8012770941677,198
2019-7-5/1-20,21,22,73.8007801315639,199
2019-7-5/1-30,21,22,73.8019607353093,200
2019-7-5/1-40,21,22,73.801027100466,201
2019-7-5/1-50,21,22,73.8011050455445,202
2019-7-5/2-0,21,22,73.8018376631372,203
2019-7-5/2-10,21,22,73.8008708053482,204
2019-7-5/2-20,21,22,73.8010606965025,205
2019-7-5/2-30,22,22,73.8019130783672,206
2019-7-5/2-40,22,22,73.8015943354716,207
2019-7-5/2-50,21,22,73.8003675280236,208
2019-7-5/3-0,21,22,73.8016174756711,209
2019-7-5/3-10,21,22,73.8017532201206,210
2019-7-5/3-20,21,22,73.8007915201615,211
2019-7-5/3-30,21,22,73.8017974174018,212
